unique_id,time,DAP,TimeGPT,TimeGPT-hi-90,TimeGPT-lo-90
0,2023-01-09 03:00:00,16.8864,21.657911,50.126896,-6.811075
0,2023-01-09 04:00:00,18.3567,23.323656,61.15931,-14.511997
0,2023-01-09 05:00:00,20.9056,27.753408,71.55192,-16.045105
0,2023-01-09 06:00:00,25.3965,27.58909,70.03188,-14.853705
0,2023-01-09 07:00:00,27.398,29.548803,61.567047,-2.469441
0,2023-01-09 08:00:00,22.3371,34.11234,69.70471,-1.4800348
0,2023-01-09 09:00:00,19.1388,41.116364,64.77487,17.457859
0,2023-01-09 10:00:00,18.896,39.26562,45.347908,33.183334
0,2023-01-09 11:00:00,18.9724,34.29576,44.949387,23.642136
0,2023-01-09 12:00:00,19.348,27.145994,35.462723,18.829268
0,2023-01-09 13:00:00,19.6043,25.351503,32.0647,18.638306
0,2023-01-09 14:00:00,19.9982,26.99055,32.189907,21.791193
0,2023-01-09 15:00:00,20.6808,26.042542,37.89668,14.188406
0,2023-01-09 16:00:00,23.8127,27.117117,43.686287,10.547947
0,2023-01-09 17:00:00,68.4904,32.18579,66.24904,-1.8774557
0,2023-01-09 18:00:00,45.4954,21.254599,40.155003,2.354197
0,2023-01-09 19:00:00,31.1213,26.174824,48.95717,3.3924809
0,2023-01-09 20:00:00,28.4455,29.921583,47.5034,12.339766
0,2023-01-09 21:00:00,26.4343,27.292414,39.211,15.373827
0,2023-01-09 22:00:00,22.2452,23.642817,29.04674,18.238894
0,2023-01-09 23:00:00,21.7202,21.441252,29.61302,13.2694845
0,2023-01-10 00:00:00,18.1544,11.079344,18.050053,4.108636
0,2023-01-10 01:00:00,14.1591,9.078871,12.090815,6.066927
0,2023-01-10 02:00:00,11.3977,9.029238,21.070456,-3.0119796
0,2023-01-10 03:00:00,10.6609,12.974983,38.49332,-12.543352
0,2023-01-10 04:00:00,11.8315,15.600918,56.79099,-25.589153
0,2023-01-10 05:00:00,15.4327,18.233849,62.171154,-25.70346
0,2023-01-10 06:00:00,26.1358,18.34763,40.058002,-3.3627434
